Participantes	Experimento	Q1	Q2	Q3	Q4	Edad	Genero	Nivel educativo	Tiempo de labor
1	Pretest	2	2	2	2	37	F	PR	3
2	Pretest	2	4	3	2	53	F	PO	5
3	Pretest	2	3	1	2	42	F	PO	3
4	Pretest	3	4	2	1	36	F	PO	6
5	Pretest	2	2	2	2	35	M	PO	8
6	Pretest	4	3	1	3	53	M	PO	3
7	Pretest	2	1	2	2	67	F	PO	5
8	Pretest	2	2	1	3	53	M	PO	8
9	Pretest	2	2	1	2	42	F	PO	7
10	Pretest	2	2	1	3	47	M	PR	5
11	Pretest	1	2	1	2	42	M	PR	9
12	Pretest	3	2	2	2	33	M	PO	6
13	Pretest	4	2	3	2	54	M	PO	8
14	Pretest	2	1	2	2	60	F	PO	13
15	Pretest	3	2	3	3	44	F	PR	9
16	Pretest	2	1	2	1	32	F	PO	7
17	Pretest	3	1	3	2	45	F	PO	10
18	Pretest	4	1	2	2	33	F	PR	5
19	Pretest	2	1	2	2	56	M	PR	15
20	Pretest	3	1	2	1	45	F	PR	2
21	Pretest	2	2	2	3	31	M	PO	6
22	Pretest	3	1	2	2	36	F	PR	4
23	Pretest	2	2	3	1	45	F	PR	11
24	Pretest	3	1	4	2	43	F	PO	7
25	Pretest	3	1	2	1	67	F	PR	20
26	Pretest	2	2	3	2	53	F	PR	3
27	Pretest	2	2	2	3	43	M	PR	7
28	Pretest	2	4	3	2	44	M	PO	5
29	Pretest	2	2	2	3	24	M	PR	1
30	Pretest	3	3	3	2	34	F	PR	5
31	Pretest	2	4	3	3	53	F	PO	10
32	Pretest	3	2	3	2	43	F	PO	3
33	Pretest	2	3	3	2	49	F	PR	6
34	Pretest	3	2	2	2	62	M	PR	8
35	Pretest	3	3	1	2	36	F	PR	10
36	Pretest	3	2	2	3	38	M	PO	8
37	Pretest	4	2	3	2	39	F	PO	8
38	Pretest	4	2	2	1	51	M	PR	14
39	Pretest	4	2	3	2	63	F	PO	16
40	Pretest	3	2	1	3	63	F	PR	7
41	Pretest	4	2	2	2	48	F	PO	2
42	Pretest	2	1	2	3	53	M	PR	9
43	Pretest	3	2	2	2	47	F	PR	6
44	Pretest	2	3	4	3	57	M	PR	11
45	Pretest	2	2	2	2	42	M	PO	3
46	Pretest	2	3	3	2	45	M	PO	14
47	Pretest	2	2	2	2	67	F	PO	21
48	Pretest	2	3	3	2	40	F	PR	15
49	Pretest	2	2	2	1	29	F	PO	2
1	Post-test	5	2	2	5	37	F	PR	3
2	Post-test	5	2	2	5	53	F	PO	5
3	Post-test	4	2	2	5	42	F	PO	3
4	Post-test	5	2	1	5	36	F	PO	6
5	Post-test	4	4	2	5	35	M	PO	8
6	Post-test	5	2	1	5	53	M	PO	3
7	Post-test	5	3	2	5	67	F	PO	5
8	Post-test	5	2	2	5	53	M	PO	8
9	Post-test	5	3	2	5	42	F	PO	7
10	Post-test	4	2	2	5	47	M	PR	5
11	Post-test	5	3	3	5	42	M	PR	9
12	Post-test	4	3	2	5	33	M	PO	6
13	Post-test	5	3	3	5	54	M	PO	8
14	Post-test	5	3	2	5	60	F	PO	13
15	Post-test	5	2	3	5	44	F	PR	9
16	Post-test	5	3	2	5	32	F	PO	7
17	Post-test	5	2	3	4	45	F	PO	10
18	Post-test	4	2	2	5	33	F	PR	5
19	Post-test	5	2	2	5	56	M	PR	15
20	Post-test	4	2	2	5	45	F	PR	2
21	Post-test	5	3	2	5	31	M	PO	6
22	Post-test	4	2	2	5	36	F	PR	4
23	Post-test	5	2	2	5	45	F	PR	11
24	Post-test	5	2	1	5	43	F	PO	7
25	Post-test	5	2	2	4	67	F	PR	20
26	Post-test	5	2	1	5	53	F	PR	3
27	Post-test	4	2	2	4	43	M	PR	7
28	Post-test	5	3	1	5	44	M	PO	5
29	Post-test	4	1	2	4	24	M	PR	1
30	Post-test	5	2	1	5	34	F	PR	5
31	Post-test	4	1	2	4	53	F	PO	10
32	Post-test	5	2	2	5	43	F	PO	3
33	Post-test	4	2	3	4	49	F	PR	6
34	Post-test	5	2	2	5	62	M	PR	8
35	Post-test	4	2	3	5	36	F	PR	10
36	Post-test	5	3	2	5	38	M	PO	8
37	Post-test	5	2	1	5	39	F	PO	8
38	Post-test	5	3	2	5	51	M	PR	14
39	Post-test	5	2	2	5	63	F	PO	16
40	Post-test	5	2	3	5	63	F	PR	7
41	Post-test	4	2	4	4	48	F	PO	2
42	Post-test	5	2	2	5	53	M	PR	9
43	Post-test	4	2	3	4	47	F	PR	6
44	Post-test	5	3	2	5	57	M	PR	11
45	Post-test	4	2	3	4	42	M	PO	3
46	Post-test	5	1	2	5	45	M	PO	14
47	Post-test	4	2	2	4	67	F	PO	21
48	Post-test	3	1	2	5	40	F	PR	15
49	Post-test	5	2	1	5	29	F	PO	2
